1	ੴ ਸਤਿਗੁਰ ਪ੍ਰਸਾਦਿ॥ ਸ੍ਰੀ ਵਾਹਿਗੁਰੂ ਜੀ ਕੀ ਫ਼ਤੇ॥ ਤਸ਼ਨੀਫ਼ਿ ਨੰਦਲਾਲ, ਦੀਵਾਨਿ ਗੋਯਾ॥ ਗ਼ਜ਼ਲਾਂ॥ ਗਜ਼ਲ ੧॥ ਹਵਾਇ ਬੰਦਗੀ, ਆਵੁਰਦ ਦਰ ਵਜੂਦ ਮਰਾ॥			The attraction of meditation and religious devotion brought me into this world,				
1	ਵਗਰਨਹ ਜ਼ੋਕ਼ਿ ਚੁਨੀਂ, ਆਮਦਨ ਨਬੂਦ ਮਰਾ॥੧॥			Otherwise, I had no urge to come. (1) (1)				
1	ਖ਼ੁਸ਼ ਅਸਤ ਉ਼ਮਰ, ਕਿਹ ਦਰ ਯਾਦਿ ਬੁਗਜ਼ਰਦ॥			Only that part of my life is useful and happy that is spent in remembering the Akaalpurakh				
1	ਵਰਨਹ ਚਿ ਹ਼ਾਸਿਲ ਅਸਤ, ਅਜ਼ੀਂ ਗੁੰਬਜ਼ਿ ਕਬੂਦ ਮਰਾ॥੨॥			Otherwise what is the benefit to me from this blue sky or the world. (1) (2)				
1	ਦਰ ਆਂ ਜ਼ਮਾਂ, ਕਿ ਨਿਆਈ ਯਾਦ ਮੇ-ਮੀਰਮ॥			For any moment that you are out of my remembrance, I feel that I am dying,				
1	ਬਗ਼ੈਰ ਯਾਦਿ ਤੋ, ਜ਼ੀਂ ਜ਼ੀਸਤਨ, ਚਿਹ ਸੂਦ ਮਰਾ॥੩॥			What is the purpose of my life (it became worthless) without your reminiscence.(1) (3)				
1	ਫ਼ਿਦਾਸਤ, ਜਾਨੋ ਦਿਲਿ ਮਨ, ਬ-ਖ਼ਾਕਿ ਮਕ਼ੱਦਮਿ ਪਾਕ॥			I can sacrifice my heart and soul uninhibitedly for (the dust of the feet of) this holy person				
1	ਹਰ ਆਂ ਕਸੇ, ਕਿਹ ਬ-ਸੂਇ ਤੋ, ਰਹਿ ਨਮੂਦ ਮਰਾ॥੪॥			Who has shown me the way to You, the Akaalpurakh. (1) (4)				
1	ਨਬੂਦ ਹੇਚ ਨਿਸ਼ਾਂਹਾ, ਜ਼ਿ ਆਸਮਾਨੋ ਜ਼ਮੀਂ॥			There was no sign-posts on the Pilgrim's way through earth or sky at that time,				
1	ਕਿ ਸ਼ੌਕ਼ਿ ਰੂਇ ਤੋ, ਆਵੁਰਦ ਦਰ ਵਜੂਦ ਮਰਾ॥੫॥			When my longing for Your glimpse made me prostrate in Your honor. (1) (5)				
